"Код;Наименование;Уровень1;Уровень2;Уровень3;Цена;ЦенаСП;Количество;Поля свойств;Совместные покупки;Единица измерения;Картинка;Выводить на главной;Описание"
"Б0001117;Лезвия для ножей 25 мм;Инструменты;Ручной инструмент;Режущий инструмент;7600;7440;10;;;шт;;0;"
"Б0000699;Нож \Стандарт\ с винтовым фиксатором;Инструменты;Ручной инструмент;Режущий инструмент;8550;8370;11;;;шт;4630;0;"
"Б0000106;Нож\Basic-twist\;Инструменты;Ручной инструмент;Режущий инструмент;9975;9765;2;;;шт;4629;0;"
"Б0001780;Ножовка по дереву \RubberPlast\  3 угла заточки400мм;Инструменты;Ручной инструмент;Режущий инструмент;25840;25296;1;;;шт;;0;"
"Б0002749;Ножовка по дереву \RubberPlast\  3 угла заточки. 500мм;Инструменты;Ручной инструмент;Режущий инструмент;28500;27900;1;;;шт;;0;"
"Б0001172;Пила по дереву \Wood Line\ 400мм;Инструменты;Ручной инструмент;Режущий инструмент;25270;24738;1;;;шт;4653;0;"
"Б0001155;Пила по дереву \Wood Line\ 450мм;Инструменты;Ручной инструмент;Режущий инструмент;34865;34131;4;;;шт;4654;0;"
"Б0002747;Пила по дереву \Wood Line\ 500мм;Инструменты;Ручной инструмент;Режущий инструмент;29355;28737;3;;;шт;4654;0;"
"Б0003219;Полотно по металлу 300мм  (12шт.);Инструменты;Ручной инструмент;Режущий инструмент;6080;5952;21;;;упак;;0;"
"Б0001779;Полотно по металлу биметалическое  300мм;Инструменты;Ручной инструмент;Режущий инструмент;6840;6696;7;;;шт;;0;"
"Б0001968;Зубило с резиновым защ. чехлом  250мм;Инструменты;Ручной инструмент;Слесарный инструмент;11875;11625;1;;;шт;;0;"
"Б0001151;Зубило с резиновым защ. чехлом  300мм;Инструменты;Ручной инструмент;Слесарный инструмент;10260;10044;1;;;шт;;0;"
"Б0001958;Кувалда с дерев. ручкой  8кг;Инструменты;Ручной инструмент;Слесарный инструмент;88350;86490;3;;;шт;;0;"
"Б0002734;Маска сварщика из пластика НН-8-701 У1;Инструменты;Ручной инструмент;Слесарный инструмент;13015;12741;2;;;шт;;0;"
"Б0002745;Молоток слесарныйдер. ручка1000 гр.;Инструменты;Ручной инструмент;Слесарный инструмент;32680;31992;3;;;шт;sd_00088;0;"
